sold_both_auction_private_treaty_medianprice, sold_both_auction_private_treaty_averageprice, dateyear, propertycategorisation, for_sale_both_auction_private_treaty_averageprice, datemonth, sa42016code, sa42016name, for_sale_both_auction_private_treaty_medianprice
650000.0,724530.4,2017,"House",687420.0,12,801,"Australian Capital Territory",599825.0
445000.0,492388.4,2017,"House",523437.6,12,101,"Capital Region",460000.0
638250.0,713920.8,2017,"House",676826.8,12,102,"Central Coast",609000.0
355000.0,382545.5,2017,"House",385109.4,12,103,"Central West",355000.0
440000.0,478432.4,2017,"House",526536.0,12,104,"Coffs Harbour - Grafton",472843.0
270000.0,303523.9,2017,"House",261168.3,12,105,"Far West And Orana",230000.0
425000.0,472502.9,2017,"House",472450.4,12,106,"Hunter Valley Exc Newcastle",441115.0
715000.0,793446.1,2017,"House",753331.2,12,107,"Illawarra",685000.0
451550.0,485754.1,2017,"House",686719.3,12,108,"Mid North Coast",469000.0
312500.0,351709.0,2017,"House",343392.3,12,109,"Murray",320000.0
315000.0,343040.3,2017,"House",343926.3,12,110,"New England And North West",310000.0
575000.0,646553.4,2017,"House",635660.3,12,111,"Newcastle And Lake Macquarie",550000.0
545000.0,626717.4,2017,"House",664276.9,12,112,"Richmond - Tweed",545000.0
325000.0,347480.6,2017,"House",340494.5,12,113,"Riverina",319000.0
600000.0,719085.1,2017,"House",746325.3,12,114,"Southern Highlands And Shoalhaven",610000.0
1286000.0,1422568.0,2017,"House",1236833.0,12,115,"Sydney - Baulkham Hills And Hawkesbury",1090000.0
760000.0,817451.9,2017,"House",869318.4,12,116,"Sydney - Blacktown",764995.0
1550000.0,1726416.0,2017,"House",1779789.0,12,117,"Sydney - City And Inner South",1550000.0
2625000.0,3420650.0,2017,"House",4258786.0,12,118,"Sydney - Eastern Suburbs",2600000.0
1120000.0,1232465.0,2017,"House",1227652.0,12,119,"Sydney - Inner South West",1050000.0
1800000.0,2012502.0,2017,"House",1973654.0,12,120,"Sydney - Inner West",1700000.0
2115000.0,2517822.0,2017,"House",2427757.0,12,121,"Sydney - North Sydney And Hornsby",1950000.0
1820000.0,2149392.0,2017,"House",2231985.0,12,122,"Sydney - Northern Beaches",1750000.0
670000.0,715879.9,2017,"House",698734.3,12,123,"Sydney - Outer South West",651000.0
680000.0,724440.1,2017,"House",722570.0,12,124,"Sydney - Outer West And Blue Mountains",674000.0
950000.0,1053740.0,2017,"House",1012101.0,12,125,"Sydney - Parramatta",900000.0
1750000.0,1910567.0,2017,"House",1837990.0,12,126,"Sydney - Ryde",1625000.0
800000.0,888577.6,2017,"House",816376.5,12,127,"Sydney - South West",739950.0
1270000.0,1434259.0,2017,"House",1318492.0,12,128,"Sydney - Sutherland",1150000.0
525000.0,559085.8,2017,"House",607801.4,12,701,"Darwin",558000.0
425000.0,461025.4,2017,"House",448010.6,12,702,"Northern Territory - Outback",425000.0
555000.0,627399.2,2017,"House",579554.8,12,301,"Brisbane - East",528700.0
562250.0,608917.2,2017,"House",599367.3,12,302,"Brisbane - North",559000.0
680000.0,751153.9,2017,"House",705903.7,12,303,"Brisbane - South",648375.0
683500.0,815255.0,2017,"House",837046.5,12,304,"Brisbane - West",685000.0
925000.0,1122660.0,2017,"House",1115343.0,12,305,"Brisbane Inner City",900000.0
400000.0,435640.1,2017,"House",486914.6,12,306,"Cairns",399000.0
305000.0,334989.5,2017,"House",358416.2,12,308,"Central Queensland",320000.0
272250.0,300098.2,2017,"House",305614.8,12,307,"Darling Downs - Maranoa",270000.0
615000.0,750510.0,2017,"House",765489.6,12,309,"Gold Coast",599000.0
385000.0,419920.4,2017,"House",409231.3,12,310,"Ipswich",391200.0
418950.0,466903.5,2017,"House",458490.1,12,311,"Logan - Beaudesert",420000.0
335000.0,360100.0,2017,"House",392966.3,12,312,"MacKay - Isaac - Whitsunday",355000.0
427500.0,476737.8,2017,"House",476725.1,12,313,"Moreton Bay - North",429000.0
490000.0,534171.8,2017,"House",532631.2,12,314,"Moreton Bay - South",497600.0
275000.0,299796.8,2017,"House",309425.1,12,315,"Queensland - Outback",260000.0
585000.0,680256.1,2017,"House",674333.4,12,316,"Sunshine Coast",559000.0
385000.0,428018.8,2017,"House",424871.9,12,317,"Toowoomba",394203.0
330000.0,355489.1,2017,"House",356280.1,12,318,"Townsville",329000.0
305000.0,325978.6,2017,"House",337301.9,12,319,"Wide Bay",310000.0
640000.0,740613.8,2017,"House",697549.9,12,401,"Adelaide - Central And Hills",590000.0
359250.0,378125.5,2017,"House",363149.0,12,402,"Adelaide - North",345000.0
452888.0,508081.0,2017,"House",490642.5,12,403,"Adelaide - South",432810.0
510000.0,543671.5,2017,"House",644679.8,12,404,"Adelaide - West",489075.0
280000.0,306154.9,2017,"House",284816.3,12,405,"Barossa - Yorke - Mid North",259000.0
280000.0,301695.3,2017,"House",290633.8,12,406,"South Australia - Outback",260000.0
299500.0,332258.7,2017,"House",326971.7,12,407,"South Australia - South East",295000.0
380000.0,441342.7,2017,"House",442897.8,12,601,"Hobart",380000.0
280000.0,310776.7,2017,"House",339564.0,12,602,"Launceston And North East",290000.0
