sold_both_auction_private_treaty_medianprice, sold_both_auction_private_treaty_averageprice, dateyear, propertycategorisation, for_sale_both_auction_private_treaty_averageprice, datemonth, sa42016code, sa42016name, for_sale_both_auction_private_treaty_medianprice
895000,1059651,2021,House,933006,12,801,Australian Capital Territory,788000
660000,731310.4,2021,House,761723.8,12,101,Capital Region,680000
846000,1012273,2021,House,911098.9,12,102,Central Coast,780000
498000,543751.7,2021,House,551379.3,12,103,Central West,500000
655000,716706.4,2021,House,732739.4,12,104,Coffs Harbour - Grafton,649000
270000,312684,2021,House,313027.2,12,105,Far West And Orana,259000
564000,614539.3,2021,House,603336.1,12,106,Hunter Valley Exc Newcastle,569000
875000,1055526,2021,House,984208.3,12,107,Illawarra,800000
595000,667471.5,2021,House,663379.1,12,108,Mid North Coast,589000
425000,490185,2021,House,476083.4,12,109,Murray,429022
350000,388349,2021,House,400514.3,12,110,New England And North West,359000
760000,880465.9,2021,House,817992.8,12,111,Newcastle And Lake Macquarie,700000
820000,1055929,2021,House,1064269,12,112,Richmond - Tweed,757500
410000,447624.2,2021,House,468657.7,12,113,Riverina,420000
830000,1054741,2021,House,1070121,12,114,Southern Highlands And Shoalhaven,803365
1574000,1678442,2021,House,1303372,12,115,Sydney - Baulkham Hills And Hawkesbury,1114221
900000,968912.4,2021,House,908133.8,12,116,Sydney - Blacktown,850500
1842500,2122772,2021,House,2063113,12,117,Sydney - City And Inner South,1735000
3600000,4561902,2021,House,5133962,12,118,Sydney - Eastern Suburbs,3500000
1315000,1448662,2021,House,1322412,12,119,Sydney - Inner South West,1180000
2200000,2471105,2021,House,2493506,12,120,Sydney - Inner West,2000000
2750000,3203855,2021,House,3145852,12,121,Sydney - North Sydney And Hornsby,2450000
2650000,3129069,2021,House,3174075,12,122,Sydney - Northern Beaches,2590000
788500,863189,2021,House,880010.7,12,123,Sydney - Outer South West,780000
811000,880385.6,2021,House,884141.3,12,124,Sydney - Outer West And Blue Mountains,789000
1115000,1207653,2021,House,1120782,12,125,Sydney - Parramatta,989000
2172000,2357992,2021,House,2131650,12,126,Sydney - Ryde,1900000
895000,1001494,2021,House,968314.7,12,127,Sydney - South West,849000
1562000,1780192,2021,House,1738950,12,128,Sydney - Sutherland,1400000
572000,640289,2021,House,612514.1,12,701,Darwin,565000
442500,638580.6,2021,House,475176.5,12,702,Northern Territory - Outback,445000
700000,787311.3,2021,House,728095.4,12,301,Brisbane - East,650000
770000,828288.6,2021,House,752008.7,12,302,Brisbane - North,696780.5
875000,977783.1,2021,House,845191.9,12,303,Brisbane - South,749772
920000,1114169,2021,House,1104964,12,304,Brisbane - West,850000
1315000,1533862,2021,House,1473811,12,305,Brisbane Inner City,1199000
450000,515930,2021,House,555249.3,12,306,Cairns,439000
355000,394503.8,2021,House,404995.5,12,308,Central Queensland,350000
280000,313704.9,2021,House,324397.4,12,307,Darling Downs - Maranoa,289000
830000,1079920,2021,House,1032664,12,309,Gold Coast,750000
444000,484680.5,2021,House,470736.6,12,310,Ipswich,446537
484850,544673.4,2021,House,577264.8,12,311,Logan - Beaudesert,458429
