sold_both_auction_private_treaty_medianprice,SA3_CODE_2016, sold_both_auction_private_treaty_averageprice, dateyear, propertycategorisation, for_sale_both_auction_private_treaty_averageprice, datemonth, enddate, for_sale_both_auction_private_treaty_medianprice
1025000,20901,1213313,2021,House,1072585,12,31/12/2021,890000
2100000,20801,2533555,2021,House,2365480,12,31/12/2021,1890000
2390000,20701,2688850,2021,House,2580391,12,31/12/2021,2100000
685000,21301,719862.8,2021,House,661715.1,12,31/12/2021,630000
1201000,20601,1216135,2021,House,1061923,12,31/12/2021,1000000
630000,21201,703277.1,2021,House,644775,12,31/12/2021,592600
737500,21202,839311.1,2021,House,784186.8,12,31/12/2021,691906
660000,21203,704802.2,2021,House,641307,12,31/12/2021,610518
760000,21204,810558,2021,House,747585.1,12,31/12/2021,690000
910000,20902,986784.1,2021,House,869884.6,12,31/12/2021,790000
1545000,20602,1638156,2021,House,1437867,12,31/12/2021,1349500
1410000,20603,1573446,2021,House,1445053,12,31/12/2021,1250000
755000,21401,842384.1,2021,House,773685.8,12,31/12/2021,690000
1640000,20802,1754115,2021,House,1521620,12,31/12/2021,1400000
999000,21302,1136574,2021,House,1043037,12,31/12/2021,890000
1000000,21001,1107323,2021,House,1027816,12,31/12/2021,880000
1170000,20803,1234509,2021,House,1114088,12,31/12/2021,1000000
910000,21101,964756.8,2021,House,871169.9,12,31/12/2021,790000
915000,21002,1138682,2021,House,992245.4,12,31/12/2021,772500
1600000,21102,1796152,2021,House,1782554,12,31/12/2021,1500000
1437000,20702,1489183,2021,House,1381810,12,31/12/2021,1280000
950000,21303,1027896,2021,House,916975.5,12,31/12/2021,849000
951750,21103,1013561,2021,House,921384.8,12,31/12/2021,850000
1258000,20604,1571199,2021,House,1501887,12,31/12/2021,1077500
585000,21304,626347.5,2021,House,552232.9,12,31/12/2021,535955
1325000,21205,1405817,2021,House,1329178,12,31/12/2021,1200000
783944,21003,826165.8,2021,House,731456.3,12,31/12/2021,695000
1100000,21402,1430327,2021,House,1587448,12,31/12/2021,995000
1137500,20903,1217550,2021,House,1153901,12,31/12/2021,1000000
1935000,20605,2285379,2021,House,1928493,12,31/12/2021,1650000
2300000,20804,2642798,2021,House,2261005,12,31/12/2021,1800000
2256000,20606,3409854,2021,House,3699138,12,31/12/2021,2295000
637750,21004,701039.7,2021,House,594380,12,31/12/2021,557802
620000,21005,666710.6,2021,House,594201.1,12,31/12/2021,570000
1221000,21104,1254906,2021,House,1158809,12,31/12/2021,1100000
1375000,20703,1477402,2021,House,1344075,12,31/12/2021,1200000
685000,20904,725826.1,2021,House,604007.6,12,31/12/2021,569358
615000,21305,650565.8,2021,House,581924.4,12,31/12/2021,557820.5
1488250,20607,1693579,2021,House,1514270,12,31/12/2021,1350000
820000,21105,900404.9,2021,House,841981.2,12,31/12/2021,750000
1025000,20901,1213313,2021,House,1072585,12,31/12/2021,890000
2100000,20801,2533555,2021,House,2365480,12,31/12/2021,1890000
2390000,20701,2688850,2021,House,2580391,12,31/12/2021,2100000
685000,21301,719862.8,2021,House,661715.1,12,31/12/2021,630000
1201000,20601,1216135,2021,House,1061923,12,31/12/2021,1000000
630000,21201,703277.1,2021,House,644775,12,31/12/2021,592600
737500,21202,839311.1,2021,House,784186.8,12,31/12/2021,691906
660000,21203,704802.2,2021,House,641307,12,31/12/2021,610518
760000,21204,810558,2021,House,747585.1,12,31/12/2021,690000
910000,20902,986784.1,2021,House,869884.6,12,31/12/2021,790000
1545000,20602,1638156,2021,House,1437867,12,31/12/2021,1349500
1410000,20603,1573446,2021,House,1445053,12,31/12/2021,1250000
755000,21401,842384.1,2021,House,773685.8,12,31/12/2021,690000
1640000,20802,1754115,2021,House,1521620,12,31/12/2021,1400000
999000,21302,1136574,2021,House,1043037,12,31/12/2021,890000
1000000,21001,1107323,2021,House,1027816,12,31/12/2021,880000
1170000,20803,1234509,2021,House,1114088,12,31/12/2021,1000000
910000,21101,964756.8,2021,House,871169.9,12,31/12/2021,790000
915000,21002,1138682,2021,House,992245.4,12,31/12/2021,772500
1600000,21102,1796152,2021,House,1782554,12,31/12/2021,1500000
1437000,20702,1489183,2021,House,1381810,12,31/12/2021,1280000
950000,21303,1027896,2021,House,916975.5,12,31/12/2021,849000
951750,21103,1013561,2021,House,921384.8,12,31/12/2021,850000
1258000,20604,1571199,2021,House,1501887,12,31/12/2021,1077500
585000,21304,626347.5,2021,House,552232.9,12,31/12/2021,535955
1325000,21205,1405817,2021,House,1329178,12,31/12/2021,1200000
783944,21003,826165.8,2021,House,731456.3,12,31/12/2021,695000
1100000,21402,1430327,2021,House,1587448,12,31/12/2021,995000
1137500,20903,1217550,2021,House,1153901,12,31/12/2021,1000000
1935000,20605,2285379,2021,House,1928493,12,31/12/2021,1650000
2300000,20804,2642798,2021,House,2261005,12,31/12/2021,1800000
2256000,20606,3409854,2021,House,3699138,12,31/12/2021,2295000
637750,21004,701039.7,2021,House,594380,12,31/12/2021,557802
620000,21005,666710.6,2021,House,594201.1,12,31/12/2021,570000
1221000,21104,1254906,2021,House,1158809,12,31/12/2021,1100000
1375000,20703,1477402,2021,House,1344075,12,31/12/2021,1200000
685000,20904,725826.1,2021,House,604007.6,12,31/12/2021,569358
615000,21305,650565.8,2021,House,581924.4,12,31/12/2021,557820.5
1488250,20607,1693579,2021,House,1514270,12,31/12/2021,1350000
820000,21105,900404.9,2021,House,841981.2,12,31/12/2021,750000
