sold_both_auction_private_treaty_medianprice, sold_both_auction_private_treaty_averageprice, sa22016code, dateyear, propertycategorisation, state, for_sale_both_auction_private_treaty_averageprice, datemonth, for_sale_both_auction_private_treaty_medianprice
1290000,1351612,206071139,2021,House,VIC,1325109,12,1297000
905000,907390.5,210011226,2021,House,VIC,858059.8,12,800000
2505000,3075778,206051128,2021,House,VIC,2801598,12,2425000
1570000,1709185,206021110,2021,House,VIC,1443474,12,1300000
1115000,1197896,213021341,2021,House,VIC,1107772,12,985000
710000,722988.3,213021342,2021,House,VIC,694227.2,12,680000
890000,925975.7,213021343,2021,House,VIC,851423.3,12,820000
706250,720324.6,213011328,2021,House,VIC,617896.4,12,615000
2550000,3113937,206061135,2021,House,VIC,3177117,12,2400000
1225000,1360438,206031113,2021,House,VIC,1232010,12,1080000
1890000,1957054,207011146,2021,House,VIC,1716209,12,1595000
1232000,1266256,212051319,2021,House,VIC,1177858,12,1100000
1280000,1288359,208031183,2021,House,VIC,1198786,12,1185000
600000,661527.1,213041353,2021,House,VIC,624444.9,12,555500
2700000,2800948,207011147,2021,House,VIC,2684878,12,2400000
2200000,2376852,207011148,2021,House,VIC,2200985,12,1900000
845000,842635.2,211011251,2021,House,VIC,818764.3,12,750000
840300,858580.6,211031263,2021,House,VIC,790553.3,12,750000
640000,725873.1,212011287,2021,House,VIC,649721.9,12,613200
2030000,2211778,208011168,2021,House,VIC,2121164,12,1900000
886500,987745.7,211051274,2021,House,VIC,930659.5,12,792500
1705000,1714409,208021174,2021,House,VIC,1532112,12,1550000
1473000,1494484,208021426,2021,House,VIC,1335561,12,1300000
1405000,1428313,208021427,2021,House,VIC,1288076,12,1300000
875000,1033731,212021293,2021,House,VIC,838652.5,12,730800
799000,815088.3,212021294,2021,House,VIC,748500.7,12,738000
1400000,1470124,207031161,2021,House,VIC,1321165,12,1200000
1300000,1330291,207031162,2021,House,VIC,1132945,12,1100000
796000,811856.8,211011446,2021,House,VIC,738834.7,12,720000
1460000,1489196,207031163,2021,House,VIC,1351574,12,1275000
1393000,1459054,207031164,2021,House,VIC,1350849,12,1270000
null,null,208031184,2021,House,VIC,6300000,12,null
742000,780329.3,213031347,2021,House,VIC,734529.6,12,700000
3115000,3889671,208011169,2021,House,VIC,3768378,12,2900000
2150000,2285629,208011170,2021,House,VIC,2082165,12,1895000
570000,558145.8,210051242,2021,House,VIC,522753.6,12,530000
1285000,1304751,206011105,2021,House,VIC,1137254,12,1100000
1222500,1293525,206011106,2021,House,VIC,1110294,12,1000000
1010000,1086227,206011107,2021,House,VIC,982896.6,12,900000
1325000,1388397,207021156,2021,House,VIC,1250231,12,1190000
870000,915695.4,209011196,2021,House,VIC,812135.6,12,740000
838500,948636.4,209041216,2021,House,VIC,858308.8,12,780000
830000,862237.7,209041217,2021,House,VIC,750478.5,12,735000
730000,837954.4,212011288,2021,House,VIC,794322.8,12,678450
730000,766134.6,213041461,2021,House,VIC,739677.6,12,738349
700500,748678.4,213041462,2021,House,VIC,679776.2,12,650000
1320000,1360616,207031165,2021,House,VIC,1337623,12,1199500
1230000,1278346,207031166,2021,House,VIC,1097153,12,1100000
840000,855328.6,213011329,2021,House,VIC,797173.4,12,770000
2425000,2673473,207011149,2021,House,VIC,2460362,12,2100000
535000,546418.8,210051243,2021,House,VIC,517849.3,12,500000
1492500,1790537,206041117,2021,House,VIC,1313048,12,1277500
1730000,1999446,206071140,2021,House,VIC,1922138,12,1500000
1652000,1617590,208021176,2021,House,VIC,1349423,12,1320000
720000,777623.8,213041463,2021,House,VIC,727823.8,12,690000
996000,1185607,208031185,2021,House,VIC,1142518,12,942500
656000,654640.1,214011370,2021,House,VIC,608567.2,12,600000
2300000,2553261,208021177,2021,House,VIC,2356591,12,1800000
1870000,1946756,208021178,2021,House,VIC,1595432,12,1600000
